INPUT:phrase	OUTPUT:audio_record	HINT:text	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
80193523432604	bac3c18d-59e9-4ce5-babe-94d1918dc5d0		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
24101929057905	ae94b1dd-2b1f-4b21-8760-95ade2ccd5a5		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
41240143429611	914186f8-3597-4c7a-9baa-294d83473bfe		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
41645534390936	37f0e44b-8f96-43df-a53b-e054af82be52		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
64151149590322	5fb597b8-957b-4fea-ad5e-19c1c18245cd		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
42347225622577	4782ba81-2329-4569-82f4-0a82e6b3ad97		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
35660547555492	5cc649d7-022f-40b2-b5c6-5c5139f13e8a		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
66523340446155	f8032e38-0ac7-4e21-9f33-041456a5742e		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
44614441793441	33c64ed3-e497-470a-9f03-ade1eb44a916		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
61292037574307	a952f91f-06f8-4827-a5e0-4a4c5dff6874		https://toloka.yandex.ru/task/9965545/0000980fe9--5e19c470139baa011329cd14	0000980fe9--5e19c470139baa011329cd14	dbc9bdf072ac48e5c0f28fd3dda155e7	SUBMITTED	2020-01-11T12:49:52.135		
